,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.3956252741589981,41.542418647319856,2.905755711430452,1.7907303370786516,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.18160973196440325,0.19219834503197727,5.827180207655406,3.7845808276897936,5.830411645988073,1.2008921348314607,2.1978
Scale Param 2,0.726438927857613,0.09616399167167587,2.156492625476464,4.005743750234736,7.237882063198603,1.105067415730337,1.6786
Scale Param 3,2.905755711430452,0.03254818816311446,0.6597356145325587,4.231565571818389,7.237882063198603,1.034685393258427,1.2303
