,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.13098042447076305,22.87860361788858,1.6002831634965968,1.502808988764045,5.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.1000176977185373,0.8154389390638411,5.804301737858314,2.142057898171299,3.2155202766342903,1.5567734550561798,3.2308
Scale Param 2,0.4000707908741492,0.6520589500444718,1.7799553614717256,2.7677547426857445,6.034210140743075,1.401977668539326,2.1121
Scale Param 3,1.6002831634965968,0.31329411398856805,0.6220622424117087,4.046933861059978,7.569946558344448,1.1721613764044945,1.3348
