,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.3839179656002304,37.32317879722323,2.610633744739079,1.8103932584269662,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.16316460904619243,0.4354197874848466,4.486246091426227,3.2973115525683543,5.830411645988073,1.3495504213483147,2.0222
Scale Param 2,0.6526584361847697,0.24718613481128446,1.8589369129449849,3.6193957392348386,7.17248503180772,1.1967095505617977,1.5733
Scale Param 3,2.610633744739079,0.08992699061761113,0.6035787342107154,4.053964141339982,7.17248503180772,1.069143679775281,1.2167
