,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.09680230334076022,20.0144763462421,1.399946869923873,1.3384831460674158,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.08749667937024207,0.757031240173576,4.773452608578733,2.020523394605151,2.8871191768690414,1.2776837078651686,2.3337
Scale Param 2,0.34998671748096827,0.634715285411648,1.6902982805239655,2.5318272399570056,5.485488756342464,1.2195616573033707,1.6989
Scale Param 3,1.399946869923873,0.31824318766919185,0.6124429761950063,3.9464976761506763,7.569946558344448,1.1027081460674157,1.2563
