,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.25269407189917065,31.197490546880346,2.18216197541362,1.803370786516854,6.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.13638512346335124,0.8452877670766762,5.4907583362509405,2.605738209913269,4.44976463738573,1.6494787921348315,3.183
Scale Param 2,0.545540493853405,0.6279508698143557,1.9997591440550286,3.255473865721106,7.237882063198603,1.4722074438202246,2.1462
Scale Param 3,2.18216197541362,0.26294754609374743,0.7115240036960779,4.057133661046251,7.569946558344448,1.178303511235955,1.3471
