,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.17795878198654497,25.666741752302322,1.7953042665553722,1.6207865168539326,5.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.11220651665971076,0.8093459719759519,4.263245805057405,2.299267055649472,3.783331449682445,1.584922893258427,2.7099
Scale Param 2,0.44882606663884306,0.618902784352138,1.6711819833076587,2.9248995087598257,6.474625500910375,1.4124615168539325,2.0785
Scale Param 3,1.7953042665553722,0.2811207097978378,0.5975022766469171,4.043653523611757,7.237882063198603,1.1639601123595507,1.3412
