,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.13624896286922691,23.05086741569974,1.612332450241599,1.4676966292134832,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.10077077814009994,0.7571382787237313,5.287868985161512,2.128728755167785,3.500631827463846,1.5034740168539327,2.5625
Scale Param 2,0.40308311256039975,0.6092607035588293,1.7149845357280578,2.782687283351678,6.596948064925973,1.369800702247191,1.8482
Scale Param 3,1.612332450241599,0.29365816960396096,0.6135826770534247,4.114879098384249,7.569946558344448,1.159110533707865,1.3007
