,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.20050177695924656,26.678023188591734,1.8660400808156992,1.5393258426966292,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.1166275050509812,0.6185626327967853,5.158195783514204,2.404274791726549,4.035325197911475,1.4612067415730337,2.7157
Scale Param 2,0.4665100202039248,0.48118104877631107,1.9421600881294783,3.0868487314814432,7.569946558344448,1.328197191011236,1.798
Scale Param 3,1.8660400808156992,0.22924033267728972,0.6269335449319038,4.152951833692655,7.569946558344448,1.1417171348314608,1.2639
