,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.1091034376071073,20.716479816015905,1.4490497064500012,1.4719101123595506,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.09056560665312507,0.7796549188080367,4.485117880167443,2.0725468084565506,2.9991341253343853,1.4414337078651684,2.7538
Scale Param 2,0.3622624266125003,0.6172386878719045,1.780581440186567,2.6040274961700907,6.034210140743075,1.3314247191011237,1.9532
Scale Param 3,1.4490497064500012,0.3018966030542973,0.5987062666828586,3.951142451358779,7.569946558344448,1.1446056179775281,1.3043
