,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.5151488193176315,47.90314798095462,3.350667832387686,1.9606741573033708,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.20941673952423037,0.02496595589448311,3.212816965415105,3.9271656622214794,6.890176115190351,1.0324766853932583,1.7078
Scale Param 2,0.8376669580969215,0.010994067457464467,1.314433602462258,4.1682594039621135,6.890176115190351,1.014482584269663,1.3779
Scale Param 3,3.350667832387686,0.0031596302953139383,0.5208731402739694,4.247880467046502,6.890176115190351,1.0042157303370787,1.1376
