,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.10417020886152938,21.700983358061432,1.5179124949772858,1.4058988764044944,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.09486953093608036,0.7973344710164368,5.123602170838296,2.120460525570906,3.8544468984949933,1.482978370786517,2.8027
Scale Param 2,0.37947812374432144,0.6558236013186698,1.859774273785862,2.665779497972862,6.383466217047183,1.3686418539325842,2.0149
Scale Param 3,1.5179124949772858,0.32417312688143046,0.6387499967842788,3.972692921785782,7.237882063198603,1.1635891853932585,1.3342
