,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.40797589183787886,52.248294688432544,3.6545965701303498,1.6320224719101124,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.22841228563314686,0.004678675110051769,2.322046891876297,4.544295135581225,5.740589051504147,1.0054301966292134,1.4729
Scale Param 2,0.9136491425325874,0.0021126898664318786,1.0084420014884337,4.262360408329738,5.740589051504147,1.0024601123595505,1.2513
Scale Param 3,3.6545965701303498,0.0006551496642633244,0.371809329952841,4.121901139873635,5.740589051504147,1.0007900280898876,1.0882
