,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.10772529564443206,21.02757581923867,1.4708098498793478,1.4129213483146068,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.09192561561745924,0.7085157465446069,5.286332560956594,2.0448848822882244,3.2139439066485394,1.462344382022472,2.9046
Scale Param 2,0.36770246246983695,0.5529440274218101,2.0670107030311615,2.6405199660553826,6.215180764956105,1.3311303370786516,2.0592
Scale Param 3,1.4708098498793478,0.28438926704432355,0.7340777271213094,4.045952073340157,7.569946558344448,1.1501476123595507,1.3493
