,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.2516477908237914,31.67343008267085,2.2154523824108554,1.7162921348314606,5.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.13846577390067846,0.811341925721454,4.269578375144031,2.582091771224131,4.490311490982158,1.6093018258426965,2.7165
Scale Param 2,0.5538630956027139,0.5949416919333712,1.7573684670305594,3.073802480003482,5.740589051504147,1.434365168539326,1.9273
Scale Param 3,2.2154523824108554,0.24790129077521653,0.5891257995376786,3.8864223047240705,6.876265745168451,1.167304915730337,1.3219
