,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.10503197303829613,19.76765395132832,1.3826824542474903,1.2724719101123596,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.08641765339046814,0.6916008175944349,5.305638320536514,1.890970030363285,3.0204326616870034,1.2084436797752809,2.4793
Scale Param 2,0.34567061356187256,0.5706792341508717,2.0973480842359318,2.540412695077757,5.539383073357825,1.1625578651685393,1.7875
Scale Param 3,1.3826824542474903,0.3015976731143334,0.6207043340717072,3.948516669856858,7.569946558344448,1.0819335674157304,1.2494
