,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.22560368243343637,27.686685975229175,1.936592729135519,1.803370786516854,5.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.12103704557096993,0.6958997906402716,4.506680450114046,2.4394317375238,3.9957088520051713,1.51133202247191,3.0294
Scale Param 2,0.48414818228387974,0.5272846010625957,1.904843995095763,3.0440399385631873,6.769420384880234,1.3564108146067415,1.9761
Scale Param 3,1.936592729135519,0.2380415359801596,0.6672867404971249,4.054137860976361,7.569946558344448,1.1460905898876403,1.2841
