,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.008901009880142537,11.0,1.0,11.0,1.0714285714285714,3.0
Unfair Clustering Method,Gonzalez,0.010428854875283443,11.0,1.5454545454545454,17.0,1.1285714285714286,3.0
Unfair Clustering Method,GonzalezPlus,0.009035991253644316,11.0,1.4545454545454546,16.0,1.0957142857142856,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.6875,1.019054363609026,8.3919,1.6357454545454546,3.0,17.9932,33.0,1.149992142857143,2.8479
Scale Param 2,1.375,1.0188698383042423,5.6441,2.029727272727273,3.272727272727273,22.327,36.0,1.1477554285714286,2.4271
Scale Param 3,2.75,0.9798754973317911,3.3363,2.770790909090909,4.7272727272727275,30.4787,52.0,1.1425444285714286,2.0484
Scale Param 4,5.5,0.7699877994424343,1.848,4.058363636363636,7.181818181818182,44.642,79.0,1.109017142857143,1.6352
Scale Param 5,11.0,0.4714617092732704,0.9591999999999999,5.310700000000001,8.909090909090908,58.4177,98.0,1.0628188571428572,1.3213
