,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.2573154582301424,13.5,1.0588235294117647,54.0,1.36,3.0
Unfair Clustering Method,Gonzalez,0.11797258749539655,27.0,1.3725490196078431,70.0,1.2466666666666666,3.0
Unfair Clustering Method,GonzalezPlus,0.09161257760850167,27.0,1.2941176470588236,66.0,1.2466666666666666,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,3.375,0.5676032021624847,7.219800000000001,1.3316411764705884,1.7058823529411764,67.9137,87.0,1.3066396666666666,2.3178
Scale Param 2,6.75,0.6231506005225115,4.4496,1.3955058823529412,2.4313725490196076,71.1708,124.0,1.3397616666666667,2.265
Scale Param 3,13.5,0.574229804214759,2.6586000000000003,1.5817098039215685,3.2745098039215685,80.6672,167.0,1.3158916666666667,1.9303
Scale Param 4,27.0,0.42757740311041886,1.6416000000000002,1.8453764705882352,3.2745098039215685,94.1142,167.0,1.2285156666666666,1.5947
Scale Param 5,54.0,0.25369327427905947,0.9072,1.9453176470588236,3.2745098039215685,99.2112,167.0,1.130234,1.3129
