,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.3221284758459647,24.0,1.0212765957446808,48.0,1.6525,3.0
Unfair Clustering Method,Gonzalez,0.01791313874512655,8.0,1.1702127659574468,55.0,1.0425,2.0
Unfair Clustering Method,GonzalezPlus,0.013199437576127798,8.0,1.1063829787234043,52.0,1.0375,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,3.0,0.1255430164896505,6.4368,1.1316446808510638,1.425531914893617,53.1873,67.0,1.11508175,1.5048
Scale Param 2,6.0,0.17654880365139658,3.8448,1.1531212765957446,1.8297872340425532,54.1967,86.0,1.1446015,1.5425
Scale Param 3,12.0,0.22621853413178034,1.9536,1.20541914893617,2.0425531914893615,56.6547,96.0,1.17329125,1.5361
Scale Param 4,24.0,0.23795982025180776,1.2096,1.3058765957446807,2.276595744680851,61.3762,107.0,1.1769965,1.46
Scale Param 5,48.0,0.1778389197985659,0.672,1.3671021276595745,2.276595744680851,64.2538,107.0,1.12982475,1.3027
