,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.33885920500252703,24.0,1.0434782608695652,24.0,2.172222222222222,8.0
Unfair Clustering Method,Gonzalez,0.20026554677615796,24.0,1.5217391304347827,35.0,1.6333333333333333,5.0
Unfair Clustering Method,GonzalezPlus,0.036952873270144036,24.0,1.2173913043478262,28.0,1.1,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,1.5,0.3215552911277555,7.6584,1.2495521739130435,1.608695652173913,28.7397,37.0,1.3321505555555555,2.7594
Scale Param 2,3.0,0.42108452187779627,4.9392000000000005,1.3073304347826087,2.0434782608695654,30.0686,47.0,1.4305647777777777,2.765
Scale Param 3,6.0,0.47478066179463124,2.9064,1.4549782608695652,2.5217391304347827,33.4645,58.0,1.4806105555555555,2.4221
Scale Param 4,12.0,0.35947806953048095,1.6560000000000001,1.610717391304348,4.956521739130435,37.0465,114.0,1.3496375555555555,1.8368
Scale Param 5,24.0,0.21153336073028162,0.888,1.7541869565217392,4.956521739130435,40.3463,114.0,1.1937606666666667,1.4119
