,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.009860426371014605,18.0,1.0,18.0,1.1,3.0
Unfair Clustering Method,Gonzalez,0.011642739270533387,18.0,1.3888888888888888,25.0,1.1233333333333333,4.0
Unfair Clustering Method,GonzalezPlus,0.00875673780467898,9.0,1.2777777777777777,23.0,1.0566666666666666,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,1.125,0.8563255975215219,6.0354,1.3883722222222223,2.5555555555555554,24.9907,46.0,1.0688546666666667,2.107
Scale Param 2,2.25,0.8824482077835356,3.9582000000000006,1.6412222222222224,3.111111111111111,29.542,56.0,1.0750483333333334,1.9129
Scale Param 3,4.5,0.9122494340023783,2.4426,2.235327777777778,4.722222222222222,40.2359,85.0,1.085367,1.9089
Scale Param 4,9.0,0.8112490300231247,1.7226,3.5121277777777777,7.277777777777778,63.2183,131.0,1.0790203333333332,1.6804
Scale Param 5,18.0,0.5387133739985202,0.9738000000000001,5.127627777777779,7.555555555555555,92.2973,136.0,1.050201,1.3729
