,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.3220893915044203,40.0,1.0,40.0,1.72,5.0
Unfair Clustering Method,Gonzalez,0.02269483244567956,20.0,1.275,51.0,1.068,2.0
Unfair Clustering Method,GonzalezPlus,0.02173511425201157,13.333333333333334,1.125,45.0,1.062,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,2.5,0.15047255301691478,5.45,1.1337525,1.425,45.3501,57.0,1.1253958,1.7445
Scale Param 2,5.0,0.23527363929040684,3.1879999999999997,1.15585,1.875,46.234,75.0,1.1942782,1.9484
Scale Param 3,10.0,0.32360785647506835,2.090666666666667,1.233535,2.175,49.3414,87.0,1.258659,1.9625
Scale Param 4,20.0,0.29408979922352996,1.272,1.3600949999999998,2.175,54.4038,87.0,1.228255,1.6704
Scale Param 5,40.0,0.19633605972135026,0.832,1.4211675,2.175,56.8467,87.0,1.1470592,1.3781
