,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.14669803465129003,13.625,1.1122448979591837,109.0,1.29,3.0
Unfair Clustering Method,Gonzalez,0.09554684956365718,36.33333333333333,1.2653061224489797,124.0,1.23,3.0
Unfair Clustering Method,GonzalezPlus,0.1006577607429539,10.899999999999999,1.1938775510204083,117.0,1.18,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,6.8125,0.7270349317403648,6.57815,1.263723469387755,1.9285714285714286,123.8449,189.0,1.225946,2.0444
Scale Param 2,13.625,0.733005058810756,4.44175,1.372254081632653,2.5,134.4809,245.0,1.207902,1.8289
Scale Param 3,27.25,0.7096550301408822,2.7140999999999997,1.591588775510204,2.857142857142857,155.9757,280.0,1.192016,1.6949
Scale Param 4,54.5,0.5696932851839583,1.446975,1.8665704081632652,2.9183673469387754,182.9239,286.0,1.152511,1.5028
Scale Param 5,109.0,0.36506166723538885,0.8883499999999999,1.961285714285714,3.0816326530612246,192.206,302.0,1.09461,1.3144
