,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.030581616597627162,12.666666666666668,1.027027027027027,38.0,1.135,3.0
Unfair Clustering Method,Gonzalez,0.028348686463012467,19.0,1.3783783783783783,51.0,1.085,2.0
Unfair Clustering Method,GonzalezPlus,0.02801346714761554,19.0,1.3243243243243243,49.0,1.09,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,2.375,0.9236240262949432,7.455600000000001,1.3924324324324324,2.3783783783783785,51.52,88.0,1.1186865,2.5974
Scale Param 2,4.75,0.947109459790251,4.9742,1.6013135135135137,2.918918918918919,59.2486,108.0,1.134708,2.3038
Scale Param 3,9.5,0.943988572799886,3.2718,2.0757513513513515,3.7027027027027026,76.8028,137.0,1.1527115,1.9408
Scale Param 4,19.0,0.7515279880712988,1.7518000000000002,2.953918918918919,5.8108108108108105,109.295,215.0,1.1234235,1.6438
Scale Param 5,38.0,0.46354416632597023,0.94088,3.707297297297297,5.8108108108108105,137.17,215.0,1.072452,1.3294
