,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.04342334476255332,5.928571428571429,1.1216216216216217,83.0,1.02,2.0
Unfair Clustering Method,Gonzalez,0.043260107721428416,11.857142857142858,1.337837837837838,99.0,1.1,2.0
Unfair Clustering Method,GonzalezPlus,0.03785887387801857,11.857142857142858,1.2432432432432432,92.0,1.06,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,5.1875,0.7989780491606276,5.434425,1.3030162162162162,2.054054054054054,96.4232,152.0,1.091938,2.0317
Scale Param 2,10.375,0.8180030092947708,3.6198374999999996,1.4653148648648648,2.7567567567567566,108.4333,204.0,1.100117,1.808
Scale Param 3,20.75,0.8231134657871557,2.3572,1.8724932432432433,3.8783783783783785,138.5645,287.0,1.111978,1.5832
Scale Param 4,41.5,0.6980048459711664,1.4820111111111112,2.5037972972972975,4.486486486486487,185.281,332.0,1.099679,1.5209
Scale Param 5,83.0,0.4633811360176505,0.84162,2.9015905405405404,4.527027027027027,214.7177,335.0,1.063647,1.3218
