,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.008144374903991778,10.0,1.0,20.0,1.04,2.0
Unfair Clustering Method,Gonzalez,0.010907250616170894,20.0,1.45,29.0,1.085,2.0
Unfair Clustering Method,GonzalezPlus,0.010911638752544325,10.0,1.45,29.0,1.085,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,1.25,0.7691327913709569,4.7725,1.504845,2.4,30.0969,48.0,1.091778,2.0931
Scale Param 2,2.5,0.7491390470791415,4.035,1.6632650000000002,3.35,33.2653,67.0,1.085881,1.9576
Scale Param 3,5.0,0.7360735402088268,2.7325,2.140505,4.7,42.8101,94.0,1.0844545,1.6677
Scale Param 4,10.0,0.6963120489742116,1.6275,3.257465,7.05,65.1493,141.0,1.0824965,1.5322
Scale Param 5,20.0,0.5120356929767155,0.9285,4.993225000000001,8.45,99.8645,169.0,1.059246,1.3464
