,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.1933105062516339,7.0,1.047244094488189,133.0,1.12,2.0
Unfair Clustering Method,Gonzalez,0.13790930580337382,16.625,1.2755905511811023,162.0,1.25,3.0
Unfair Clustering Method,GonzalezPlus,0.11885052815732622,8.3125,1.220472440944882,155.0,1.1,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,8.3125,0.6522428947989628,5.787162500000001,1.2513125984251967,1.968503937007874,158.9167,250.0,1.219628,1.9438
Scale Param 2,16.625,0.6489421615060565,4.214437500000001,1.3134771653543307,2.0551181102362204,166.8116,261.0,1.214796,1.9328
Scale Param 3,33.25,0.5648129343999472,2.5369750000000004,1.4162511811023621,2.283464566929134,179.8639,290.0,1.183389,1.7314
Scale Param 4,66.5,0.39711742176651976,1.4347375,1.488092125984252,2.283464566929134,188.9877,290.0,1.124794,1.4449
Scale Param 5,133.0,0.24286879333157618,0.77805,1.5021377952755905,2.283464566929134,190.7715,290.0,1.073695,1.2643
