,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.004573894473581973,14.0,1.0769230769230769,14.0,1.02,2.0
Unfair Clustering Method,Gonzalez,0.004921782973970475,14.0,1.4615384615384615,19.0,1.05,2.0
Unfair Clustering Method,GonzalezPlus,0.0044844361888111885,7.0,1.3076923076923077,17.0,1.02,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.875,0.732070033999334,5.1240000000000006,1.4276153846153847,2.5384615384615383,18.559,33.0,1.045928,1.9669
Scale Param 2,1.75,0.7615921212084209,3.8556000000000004,1.7370076923076923,3.6923076923076925,22.5811,48.0,1.0526995,1.8262
Scale Param 3,3.5,0.8287551325785325,2.7244,2.4431076923076924,4.6923076923076925,31.7604,61.0,1.065107,1.5838
Scale Param 4,7.0,0.8088615826654828,1.6239999999999999,4.011046153846154,7.6923076923076925,52.1436,100.0,1.069527,1.4735
Scale Param 5,14.0,0.5473690585303586,0.9702000000000001,6.023769230769231,8.692307692307692,78.309,113.0,1.04619975,1.322
