,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.005247625396825396,11.0,1.0,11.0,1.024,2.0
Unfair Clustering Method,Gonzalez,0.004503903174603176,11.0,1.3636363636363635,15.0,1.06,3.0
Unfair Clustering Method,GonzalezPlus,0.006447314285714287,11.0,1.3636363636363635,15.0,1.086,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.6875,0.93481028501716,8.432599999999999,1.4606545454545454,2.4545454545454546,16.0672,27.0,1.0743042,2.429
Scale Param 2,1.375,0.9390900411694161,5.7277000000000005,1.754227272727273,3.090909090909091,19.2965,34.0,1.0737108,2.1918
Scale Param 3,2.75,0.9366287267949767,3.3605,2.4554,4.454545454545454,27.0094,49.0,1.0750482,1.8763
Scale Param 4,5.5,0.819864384189384,1.8051,4.023863636363637,7.7272727272727275,44.2625,85.0,1.068221,1.5819
Scale Param 5,11.0,0.5417195706095705,0.9647,6.278781818181818,9.272727272727273,69.0666,102.0,1.0433588,1.3158
