,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.26076495754578666,41.0,1.0512820512820513,41.0,1.6075,4.0
Unfair Clustering Method,Gonzalez,0.09555576266638405,13.666666666666668,1.3076923076923077,51.0,1.1825,3.0
Unfair Clustering Method,GonzalezPlus,0.06535554161832911,20.5,1.2307692307692308,48.0,1.1275,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,2.5625,0.682435484347533,8.0114,1.2844564102564102,1.9230769230769231,50.0938,75.0,1.416805,2.7479
Scale Param 2,5.125,0.684387461146907,5.2972,1.4061230769230768,2.1538461538461537,54.8388,84.0,1.41921475,2.5513
Scale Param 3,10.25,0.5675875935644104,3.0012,1.5966641025641026,2.6153846153846154,62.2699,102.0,1.337336,2.0346
Scale Param 4,20.5,0.3880117435435284,1.6974,1.7168615384615384,2.6923076923076925,66.9576,105.0,1.21854475,1.5983
Scale Param 5,41.0,0.23280415292213646,0.92865,1.6852846153846155,2.6923076923076925,65.7261,105.0,1.12545775,1.3168
