,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.02755103178029107,14.0,1.0769230769230769,14.0,1.2677777777777777,4.0
Unfair Clustering Method,Gonzalez,0.026319704643778728,14.0,1.5384615384615385,20.0,1.2466666666666666,4.0
Unfair Clustering Method,GonzalezPlus,0.027252049747234944,14.0,1.4615384615384615,19.0,1.2766666666666666,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.875,1.0554390153111357,9.548000000000002,1.737523076923077,3.0,22.5878,39.0,1.380241888888889,2.8437
Scale Param 2,1.75,1.0217814843252784,6.1012,2.2112615384615384,3.3076923076923075,28.7464,43.0,1.3670645555555556,2.6555
Scale Param 3,3.5,0.8794053460738037,3.4482,2.801569230769231,4.384615384615385,36.4204,57.0,1.3056121111111112,2.232
Scale Param 4,7.0,0.6053501337798624,1.834,3.5066153846153845,5.3076923076923075,45.586,69.0,1.1955063333333333,1.7142
Scale Param 5,14.0,0.36386973415343254,0.9786000000000001,3.592992307692308,5.3076923076923075,46.7089,69.0,1.1094668888888888,1.3744
