,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.3282880150225129,60.0,1.0169491525423728,60.0,1.69,5.0
Unfair Clustering Method,Gonzalez,0.03428499170705713,7.5,1.152542372881356,68.0,1.0533333333333332,2.0
Unfair Clustering Method,GonzalezPlus,0.03428499170705713,7.5,1.152542372881356,68.0,1.0533333333333332,2.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,3.75,0.257093145885142,8.292,1.1787237288135595,1.5254237288135593,69.5447,90.0,1.192521,2.3251
Scale Param 2,7.5,0.34275649622008836,4.761,1.2007305084745763,2.1864406779661016,70.8431,129.0,1.239317,2.0921
Scale Param 3,15.0,0.38238147637791736,2.538,1.2626067796610168,2.2711864406779663,74.4938,134.0,1.2544216666666668,1.7799
Scale Param 4,30.0,0.3282095389588752,1.335,1.3483033898305083,2.2711864406779663,79.5499,134.0,1.2096456666666666,1.5541
Scale Param 5,60.0,0.22477708420599457,0.8220000000000001,1.3676694915254237,2.2711864406779663,80.6925,134.0,1.138652,1.3332
