,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.011581805054513386,13.0,1.0,13.0,1.1133333333333333,3.0
Unfair Clustering Method,Gonzalez,0.011936976110309446,13.0,1.4615384615384615,19.0,1.1816666666666666,3.0
Unfair Clustering Method,GonzalezPlus,0.012069979056437388,13.0,1.3846153846153846,18.0,1.1566666666666667,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,0.8125,1.0351336329831033,5.6004,1.5387461538461538,2.6923076923076925,20.0037,35.0,1.2228618333333334,2.6295
Scale Param 2,1.625,1.0358390137664986,4.3953,1.8903153846153846,3.3076923076923075,24.5741,43.0,1.2196041666666666,2.3018
Scale Param 3,3.25,0.9793512358122805,2.9393,2.640269230769231,4.461538461538462,34.3235,58.0,1.2059673333333334,2.031
Scale Param 4,6.5,0.7590580895323582,1.7875,3.843692307692308,6.6923076923076925,49.968,87.0,1.1551068333333334,1.6953
Scale Param 5,13.0,0.45731544000609675,0.9450999999999999,4.9996846153846155,6.769230769230769,64.9959,88.0,1.0883621666666667,1.3625
