,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.33071300584869706,20.5,1.0789473684210527,41.0,1.816,6.0
Unfair Clustering Method,Gonzalez,0.18883965807947817,20.5,1.4210526315789473,54.0,1.488,4.0
Unfair Clustering Method,GonzalezPlus,0.06275052081773659,41.0,1.236842105263158,47.0,1.138,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,2.5625,0.5933653037825256,7.6752,1.280392105263158,2.0789473684210527,48.6549,79.0,1.4637328,2.9577
Scale Param 2,5.125,0.6244366479422627,5.129099999999999,1.3754052631578948,2.4473684210526314,52.2654,93.0,1.4925378,2.6648
Scale Param 3,10.25,0.5396082619914961,3.1611,1.5800999999999998,2.973684210526316,60.0438,113.0,1.4191036,2.1448
Scale Param 4,20.5,0.37047569745764736,1.6563999999999999,1.76935,2.973684210526316,67.2353,113.0,1.2747202,1.6765
Scale Param 5,41.0,0.21896147877432645,0.9225,1.8300131578947367,2.973684210526316,69.5405,113.0,1.1548528,1.3555
