,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.08344594962970797,8.25,1.064516129032258,99.0,1.07,3.0
Unfair Clustering Method,Gonzalez,0.07594280993730275,9.0,1.4301075268817205,133.0,1.07,2.0
Unfair Clustering Method,GonzalezPlus,0.08475423012858833,9.0,1.3333333333333333,124.0,1.19,4.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,6.1875,0.9099149888761164,4.93614,1.4120043010752688,2.3440860215053765,131.3164,218.0,1.197144,1.9801
Scale Param 2,12.375,0.8658312330094949,3.5132624999999997,1.5500537634408602,2.5913978494623655,144.155,241.0,1.193805,1.8517
Scale Param 3,24.75,0.7607296221939106,2.573175,1.820874193548387,3.3763440860215055,169.3413,314.0,1.171937,1.668
Scale Param 4,49.5,0.5575290071792668,1.5134625,2.1343387096774196,4.172043010752688,198.4935,388.0,1.122931,1.5032
Scale Param 5,99.0,0.3425948003980674,0.8278874999999999,2.3040634408602148,4.172043010752688,214.2779,388.0,1.072474,1.2939
