,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.030601260440947943,16.0,1.0666666666666667,16.0,1.295,4.0
Unfair Clustering Method,Gonzalez,0.03052241276085026,16.0,1.6,24.0,1.40125,4.0
Unfair Clustering Method,GonzalezPlus,0.029427663135475627,16.0,1.5333333333333334,23.0,1.37,6.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,1.0,1.0482381236547433,6.4288,1.89164,2.8666666666666667,28.3746,43.0,1.50073825,3.2769
Scale Param 2,2.0,1.0166924288557413,4.4992,2.2030466666666664,3.2666666666666666,33.0457,49.0,1.48433725,3.3554
Scale Param 3,4.0,0.8775063006696725,3.064,2.7032266666666667,4.466666666666667,40.5484,67.0,1.4014115,2.6432
Scale Param 4,8.0,0.6063452703652242,1.7712,3.3500799999999997,5.2,50.2512,78.0,1.2578765,1.8502
Scale Param 5,16.0,0.3628750079023014,0.9432,3.3848800000000003,5.2,50.7732,78.0,1.14426425,1.4344
