,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.46225235836785245,41.0,1.0789473684210527,41.0,2.0533333333333332,5.0
Unfair Clustering Method,Gonzalez,0.021832358265281623,13.666666666666668,1.236842105263158,47.0,1.0466666666666666,3.0
Unfair Clustering Method,GonzalezPlus,0.009076426648583899,6.833333333333334,1.131578947368421,43.0,1.0233333333333334,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,2.5625,0.0356640755717629,4.5592,1.1523684210526315,1.3421052631578947,43.79,51.0,1.048386,1.9212
Scale Param 2,5.125,0.09951508585682815,2.9724999999999997,1.1849763157894737,1.868421052631579,45.0291,71.0,1.117516,1.7903
Scale Param 3,10.25,0.2268109349735059,2.07788,1.2598605263157894,2.1315789473684212,47.8747,81.0,1.232062,1.7478
Scale Param 4,20.5,0.2525250885082134,1.30708,1.3796605263157895,2.1315789473684212,52.4271,81.0,1.2426715,1.5655
Scale Param 5,41.0,0.17548827024816577,0.7544,1.4193552631578947,2.1315789473684212,53.9355,81.0,1.1609268333333334,1.3304
