,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.32127528556945023,30.0,1.0,30.0,1.707142857142857,5.0
Unfair Clustering Method,Gonzalez,0.03921256840830312,30.0,1.2666666666666666,38.0,1.1028571428571428,2.0
Unfair Clustering Method,GonzalezPlus,0.025229876456634315,7.5,1.2,36.0,1.0457142857142858,3.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,1.875,0.175835229682921,6.849,1.2105400000000002,1.4666666666666666,36.3162,44.0,1.1541032857142857,2.7202
Scale Param 2,3.75,0.2747347376343465,4.407,1.2341666666666666,2.0,37.025,60.0,1.2269567142857143,2.3401
Scale Param 3,7.5,0.35153243882953983,2.556,1.30876,2.033333333333333,39.2628,61.0,1.2828581428571428,1.9004
Scale Param 4,15.0,0.3019702698683505,1.422,1.4059899999999999,2.1666666666666665,42.1797,65.0,1.2355334285714286,1.5833
Scale Param 5,30.0,0.18910258407049557,0.801,1.42529,2.1666666666666665,42.7587,65.0,1.1428327142857142,1.3336
