,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Max to Optimal Ratio,Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Unfair Clustering Method,Scr,0.05722101365984489,24.0,1.0909090909090908,24.0,1.27,4.0
Unfair Clustering Method,Gonzalez,0.047668546812795955,24.0,1.5,33.0,1.322,5.0
Unfair Clustering Method,GonzalezPlus,0.05858635791384996,24.0,1.4545454545454546,32.0,1.324,5.0
,Parameter Value,Average Separation Ratio,Maximum Separation Ratio,Average Max to Opt Radius Ratio,Overall Max to Opt Radius Ratio,Average Maximum Radius,Overall Maximum Radius,Average Number of Different Clusters,Maximum Number of Different Clusters
Scale Param 1,1.5,1.0752626790747648,8.2296,1.6202272727272728,2.590909090909091,35.645,57.0,1.490256,3.5286
Scale Param 2,3.0,1.0135171120235558,5.2272,1.8986272727272726,3.227272727272727,41.7698,71.0,1.456413,2.9314
Scale Param 3,6.0,0.8541633782358485,3.3120000000000003,2.4730818181818184,4.2727272727272725,54.4078,94.0,1.3681924,2.4503
Scale Param 4,12.0,0.5824885484799099,1.9056,3.0551909090909093,4.2727272727272725,67.2142,94.0,1.2334446,1.8114
Scale Param 5,24.0,0.34522006858677845,1.0248000000000002,3.034136363636364,4.2727272727272725,66.751,94.0,1.1297098,1.4168
